Node Number	Directional Deformation (m)
15459	-3.1373e-007
15376	-3.2116e-007
56	-2.299e-007
92	-3.2876e-007
15398	-2.4038e-007
15484	-2.5017e-007
15313	-2.5936e-007
15481	-2.6801e-007
15435	-2.7622e-007
15242	-2.8407e-007
15241	-3.2157e-007
15262	-3.2953e-007
15280	-3.3729e-007
15305	-3.4495e-007
15336	-3.5257e-007
15377	-3.6024e-007
55	-2.6513e-007
15253	-3.1333e-007
91	-3.6802e-007
15397	-2.7596e-007
15346	-2.8612e-007
15312	-2.9568e-007
15285	-3.0473e-007
15271	-3.6955e-007
15252	-3.6125e-007
15282	-3.7763e-007
15469	-3.8558e-007
15461	-3.9346e-007
15272	-3.5266e-007
15378	-4.0134e-007
90	-4.0927e-007
54	-3.0278e-007
15396	-3.1393e-007
15472	-3.2442e-007
15436	-3.3432e-007
15496	-3.4371e-007
15283	-4.0307e-007
15493	-4.1167e-007
15284	-3.9417e-007
15294	-4.2004e-007
15295	-3.8491e-007
15307	-4.2825e-007
15337	-4.3636e-007
15379	-4.4442e-007
53	-3.4281e-007
89	-4.5248e-007
15309	-3.7521e-007
15395	-3.5423e-007
15345	-3.65e-007
15310	-4.3781e-007
15308	-4.4698e-007
15504	-4.5584e-007
15311	-4.2827e-007
15306	-4.6446e-007
15325	-4.729e-007
15339	-4.8121e-007
15380	-4.8943e-007
52	-3.8515e-007
88	-4.976e-007
15326	-4.183e-007
15394	-3.968e-007
15453	-4.0783e-007
15342	-4.8351e-007
15431	-4.9292e-007
15426	-5.0202e-007
15341	-5.1085e-007
15340	-5.1949e-007
15343	-4.7373e-007
15358	-5.2796e-007
15381	-5.3632e-007
51	-4.2973e-007
15344	-4.6352e-007
87	-5.4459e-007
15359	-4.5283e-007
15393	-4.4158e-007
15388	-5.3123e-007
15387	-5.4084e-007
15386	-5.5013e-007
15385	-5.5916e-007
15384	-5.6796e-007
15383	-5.7658e-007
15382	-5.8505e-007
15389	-5.2124e-007
50	-4.765e-007
15390	-5.1083e-007
86	-5.934e-007
15391	-4.9994e-007
15392	-4.8851e-007
49	-5.2538e-007
75	-5.3753e-007
76	-5.491e-007
77	-5.6016e-007
78	-5.7074e-007
79	-5.809e-007
80	-5.9068e-007
81	-6.0015e-007
82	-6.0933e-007
83	-6.1827e-007
84	-6.2701e-007
85	-6.3558e-007
74	-6.4399e-007
111	-2.2636e-006
173	-2.2734e-006
174	-2.2829e-006
175	-2.2922e-006
176	-2.3013e-006
177	-2.3102e-006
178	-2.3188e-006
179	-2.3271e-006
180	-2.3353e-006
181	-2.3431e-006
182	-2.3508e-006
183	-2.3582e-006
148	-2.3653e-006
15112	-2.376e-006
15113	-2.3849e-006
15111	-2.3669e-006
15114	-2.3936e-006
15115	-2.4021e-006
15116	-2.4103e-006
15117	-2.4183e-006
15118	-2.4261e-006
15119	-2.4336e-006
15176	-2.3575e-006
15120	-2.4409e-006
135	-2.3479e-006
172	-2.4479e-006
15076	-2.4693e-006
15077	-2.4778e-006
15199	-2.4862e-006
15078	-2.4943e-006
15079	-2.4606e-006
15194	-2.5021e-006
15081	-2.5098e-006
15108	-2.4516e-006
15109	-2.5172e-006
15121	-2.5243e-006
15175	-2.4424e-006
134	-2.433e-006
171	-2.5313e-006
15039	-2.5544e-006
15040	-2.5628e-006
15041	-2.571e-006
15042	-2.5789e-006
15043	-2.5867e-006
15122	-2.6085e-006
15073	-2.5942e-006
15072	-2.5458e-006
15080	-2.6015e-006
133	-2.5188e-006
15174	-2.528e-006
15107	-2.537e-006
170	-2.6153e-006
15238	-2.6793e-006
15215	-2.6864e-006
15123	-2.6934e-006
15035	-2.6719e-006
15195	-2.6565e-006
15012	-2.6643e-006
15010	-2.6484e-006
132	-2.6052e-006
15034	-2.6402e-006
169	-2.7001e-006
15173	-2.6143e-006
15038	-2.6318e-006
15178	-2.6231e-006
15044	-2.765e-006
15082	-2.7721e-006
15124	-2.7789e-006
15011	-2.7577e-006
131	-2.6924e-006
15007	-2.7503e-006
14988	-2.7426e-006
168	-2.7855e-006
15006	-2.7347e-006
15172	-2.7012e-006
15228	-2.7099e-006
15071	-2.7184e-006
15033	-2.7266e-006
15208	-2.8369e-006
15180	-2.8442e-006
15207	-2.8514e-006
15211	-2.8583e-006
15125	-2.865e-006
14977	-2.8294e-006
130	-2.7801e-006
167	-2.8715e-006
15171	-2.7888e-006
15200	-2.7973e-006
15214	-2.8056e-006
15186	-2.8137e-006
