Node ID,x,y,disp_x,disp_y,stress_x,stress_y
6638,-2.5994,0.29942,0.002696,0.00037039,0.3693,1.3766
6639,-2.6996,0.2995,0.0027014,0.00036164,0.33746,1.3326
6640,-2.7997,0.29962,0.0027085,0.00035398,0.3076,1.2938
6641,-2.8997,0.29966,0.0027175,0.00034698,0.27975,1.2588
6642,-2.9998,0.29974,0.0027282,0.00034059,0.25378,1.2269
6643,-3.0998,0.29977,0.0027404,0.00033455,0.2296,1.1974
6644,-3.1998,0.29982,0.0027541,0.00032883,0.20705,1.1697
6645,-3.2999,0.29984,0.0027692,0.00032327,0.18603,1.1434
6646,-3.3999,0.29988,0.0027855,0.00031785,0.16639,1.1181
6647,-3.4999,0.29989,0.002803,0.00031245,0.14804,1.0935
6648,-3.5999,0.29992,0.0028215,0.00030705,0.13086,1.0694
6649,-3.6999,0.29994,0.002841,0.00030156,0.1148,1.0456
6650,-3.8,0.29996,0.0028613,0.00029594,0.099761,1.0217
6651,-3.9,0.29996,0.0028823,0.00029013,0.08571,0.99767
6652,-4.0,0.29997,0.002904,0.00028409,0.072607,0.9732
6653,-4.1,0.29998,0.0029262,0.00027774,0.060432,0.94811
6654,-4.2,0.29998,0.0029488,0.00027102,0.049183,0.92217
6655,-4.3,0.29999,0.0029716,0.00026387,0.038879,0.89516
6656,-4.4,0.29999,0.0029946,0.0002562,0.029557,0.86682
6657,-4.5,0.3,0.0030177,0.00024792,0.021279,0.83687
6658,-4.7,0.49993,0.0030246,0.00038378,0.0071129,0.78241
6659,-4.7,0.69991,0.0029684,0.0005414,0.0055802,0.79878
6660,-4.7,0.7999,0.0029342,0.00062159,0.0047111,0.80846
6742,-4.7,0.39997,0.0030461,0.00030614,0.0077366,0.77598
6747,-4.7,0.29998,0.003063,0.00022907,0.0082403,0.77085
6781,-4.7,0.19999,0.0030752,0.00015246,0.0086107,0.76713
6813,-4.8,0.69993,0.0029915,0.00051702,0.0025364,0.76587
6814,-4.8,0.79993,0.0029577,0.00059407,0.002139,0.77691
6815,-4.8,0.59994,0.0030214,0.00044105,0.0029059,0.75592
6816,-4.6,0.2,0.0030529,0.00015904,0.014771,0.80167
6817,-4.4,0.2,0.0030074,0.00017059,0.030898,0.86401
6818,-4.1,0.19999,0.0029398,0.00018493,0.063265,0.94554
6819,-3.9,0.19999,0.0028968,0.00019317,0.089892,0.99497
6820,-3.8,0.19999,0.0028763,0.00019702,0.10476,1.0189
