Node Number	Normal Stress (Pa)
6004	-4.1765e-002
6005	-1.2212e-002
6006	-0.10772
6007	-0.18297
6008	-0.27403
6009	-0.17096
6010	-0.14167
6011	-0.33486
6012	-0.2549
6013	-0.25758
6014	-0.12267
6015	-0.13789
6016	0.20481
6017	0.1819
6018	0.13836
6019	9.6909e-002
6020	5.6292e-002
6021	3.5715e-002
6022	1.5158e-002
6023	-2.8303e-002
6024	-5.1366e-002
6025	-7.5345e-002
6026	-0.12755
6027	-0.15679
6028	-0.18891
6029	-0.25508
6030	-0.28964
6031	-0.32673
6032	-0.26932
6033	-0.26332
6034	0.22884
6035	3.2547e-003
6036	-0.23429
6037	-0.20665
6038	-0.17162
6039	2.209e-002
6040	-0.35442
6041	-0.31672
6042	-0.2694
6043	-0.27533
6044	-0.15428
6045	-0.17807
6046	-0.37667
6047	-0.25058
6048	-0.20915
6049	-0.26472
6050	-0.33867
6051	-0.30388
6052	-0.28223
6053	-0.19669
6054	-0.26056
6055	-0.20839
6056	-0.32421
6057	-0.29348
6058	-0.18438
6059	-0.29441
6060	-0.15189
6061	-0.25902
6062	0.24444
6063	0.25398
6064	0.22347
6065	0.23425
6066	0.21229
6067	0.17719
6068	0.18904
6069	0.15364
6070	0.16539
6071	0.14213
6072	0.10937
6073	0.11993
6074	9.9297e-002
6075	8.0613e-002
6076	6.4108e-002
6077	4.9891e-002
6078	3.7954e-002
6079	2.4086e-002
6080	1.7258e-002
6081	2.0451e-002
6082	1.4476e-002
6083	1.0003e-002
6084	5.4617e-003
6085	6.7363e-003
6086	4.3785e-003
6087	-0.21973
6088	1.4699e-003
6089	2.5867e-003
6090	-1.3534e-003
6091	1.4274e-004
6092	-2.9801e-003
6093	-6.4855e-003
6094	-1.0112e-002
6095	-1.3617e-002
6096	-1.8131e-002
6097	-1.6766e-002
6098	-1.9322e-002
6099	-2.1047e-002
6100	-2.1539e-002
6101	-2.1704e-002
6102	-2.1075e-002
6103	-1.7326e-002
6104	-1.8973e-002
6105	-1.2827e-002
6106	-1.5282e-002
6107	-6.767e-003
6108	-9.9863e-003
6109	-3.2116e-003
6110	4.7443e-003
6111	1.3396e-002
6112	-0.20216
6113	2.6213e-002
6114	4.8085e-002
6115	4.0323e-002
6116	6.4734e-002
6117	5.6235e-002
6118	7.3492e-002
6119	0.10076
6120	9.1574e-002
6121	0.10976
6122	0.12688
6123	0.14097
6124	0.14867
6125	0.13543
6126	0.14431
6127	0.11981
6128	6.4347e-002
6129	-2.1859e-002
6130	-0.12051
6131	-0.31948
6132	-0.33244
6133	-0.2726
6134	-0.27448
6135	-0.16648
6136	-0.17672
6137	0.2372
6138	0.19004
6139	0.14667
6140	0.10579
6141	6.6087e-002
6142	4.6125e-002
6143	2.616e-002
6144	5.4161e-003
6145	-1.5857e-002
6146	-3.8155e-002
6147	-6.1532e-002
6148	-0.11365
6149	-0.1428
6150	-0.17447
6151	-0.24661
6152	-0.33043
6153	-0.39266
6154	-0.28458
6155	-0.24952
6156	-0.22535
6157	-0.34166
6158	-0.31845
6159	-0.28623
6160	-0.18918
6161	-0.20389
6162	-0.43059
6163	-0.16032
6164	-0.23699
