Node Number	Directional Deformation (m)
5332	1.4678e-003
5333	7.7973e-004
5334	1.3569e-003
5335	8.7809e-004
5336	6.1117e-004
5337	6.1998e-004
5338	7.073e-004
5339	7.9473e-004
5340	8.8293e-004
5341	9.6893e-004
5342	9.2636e-004
5343	1.0521e-003
5344	1.0109e-003
5345	1.1645e-003
5346	1.2781e-003
5347	1.2211e-003
5348	1.3954e-003
5349	1.5174e-003
5350	1.4552e-003
5351	5.475e-004
5352	6.3386e-004
5353	7.2556e-004
5354	1.4171e-003
5355	8.2234e-004
5356	5.086e-004
5357	1.3065e-003
5358	5.837e-004
5359	6.6686e-004
5360	7.5072e-004
5361	9.1712e-004
5362	9.9765e-004
5363	9.5766e-004
5364	1.2071e-003
5365	1.3231e-003
5366	1.4427e-003
5367	1.3825e-003
5368	1.5659e-003
5369	1.5038e-003
5370	1.6941e-003
5371	1.6295e-003
5372	1.8252e-003
5373	1.7594e-003
5374	1.0375e-003
5375	5.8321e-004
5376	1.7092e-003
5377	1.1441e-003
5378	6.7023e-004
5379	7.6667e-004
5380	1.3653e-003
5381	4.7419e-004
5382	5.4843e-004
5383	6.2682e-004
5384	7.0682e-004
5385	7.8665e-004
5386	8.658e-004
5387	9.4361e-004
5388	9.0491e-004
5389	1.0196e-003
5390	1.1334e-003
5391	1.2489e-003
5392	1.367e-003
5393	1.4881e-003
5394	1.4272e-003
5395	1.5501e-003
5396	1.7418e-003
5397	1.677e-003
5398	1.8731e-003
5399	1.8071e-003
5400	2.0064e-003
5401	1.9397e-003
5402	4.0327e-004
5403	4.3288e-004
5404	4.6173e-004
5405	1.9589e-003
5406	3.7392e-004
5407	1.7749e-003
5408	2.1158e-003
5409	1.0882e-003
5410	1.6579e-003
5411	6.1969e-004
5412	7.114e-004
5413	8.1192e-004
5414	9.1909e-004
5415	4.216e-004
5416	4.4123e-004
5417	5.1215e-004
5418	5.8664e-004
5419	6.6248e-004
5420	6.2436e-004
5421	7.3879e-004
5422	8.1479e-004
5423	8.8989e-004
5424	8.5248e-004
5425	9.6359e-004
5426	1.1725e-003
5427	1.1148e-003
5428	1.2897e-003
5429	1.4096e-003
5430	1.5324e-003
5431	1.4705e-003
5432	1.6586e-003
5433	1.5949e-003
5434	1.7875e-003
5435	1.7226e-003
5436	1.9189e-003
5437	1.853e-003
5438	2.0508e-003
5439	1.9846e-003
5440	2.0265e-003
5441	2.0722e-003
5442	3.6865e-004
5443	3.9526e-004
5444	4.9124e-004
5445	1.0001e-003
5446	2.1575e-003
5447	1.0309e-003
5448	5.6993e-004
5449	1.6051e-003
5450	7.5475e-004
5451	8.6002e-004
5452	3.449e-004
5453	4.0848e-004
5454	4.7581e-004
5455	5.4621e-004
5456	6.1823e-004
5457	5.8198e-004
5458	6.9105e-004
5459	7.6395e-004
5460	8.3634e-004
5461	8.0022e-004
5462	9.0774e-004
5463	9.7782e-004
5464	1.9101e-003
5465	1.9795e-003
5466	1.094e-003
5467	1.036e-003
5468	1.2109e-003
5469	1.1523e-003
5470	1.3297e-003
5471	1.4509e-003
5472	1.39e-003
5473	1.5748e-003
5474	1.5125e-003
5475	1.7017e-003
5476	1.638e-003
5477	1.8309e-003
5478	1.766e-003
5479	1.9616e-003
5480	1.8962e-003
5481	2.0924e-003
5482	2.0272e-003
5483	2.1808e-003
5484	2.2209e-003
5485	2.095e-003
5486	2.8549e-004
5487	3.1017e-004
