Node Number	Directional Deformation (m)
5392	3.1609e-003
5393	2.9266e-003
5394	3.0442e-003
5395	2.8079e-003
5396	2.4475e-003
5397	2.5683e-003
5398	2.2049e-003
5399	2.3263e-003
5400	1.9617e-003
5401	2.0831e-003
5402	5.0397e-003
5403	4.9268e-003
5404	4.8147e-003
5405	2.0089e-003
5406	5.1498e-003
5407	2.3089e-003
5408	1.8004e-003
5409	3.4475e-003
5410	2.4895e-003
5411	4.3955e-003
5412	4.1786e-003
5413	3.9589e-003
5414	3.7407e-003
5415	4.8996e-003
5416	4.9973e-003
5417	4.8428e-003
5418	4.6854e-003
5419	4.5305e-003
5420	4.6078e-003
5421	4.3794e-003
5422	4.2325e-003
5423	4.09e-003
5424	4.1607e-003
5425	3.952e-003
5426	3.5537e-003
5427	3.6646e-003
5428	3.3288e-003
5429	3.1001e-003
5430	2.8681e-003
5431	2.9846e-003
5432	2.6327e-003
5433	2.751e-003
5434	2.3956e-003
5435	2.5146e-003
5436	2.1566e-003
5437	2.2762e-003
5438	1.9181e-003
5439	2.0377e-003
5440	1.8848e-003
5441	1.8414e-003
5442	5.1175e-003
5443	5.0086e-003
5444	4.7011e-003
5445	3.884e-003
5446	1.7609e-003
5447	3.5274e-003
5448	4.4911e-003
5449	2.5474e-003
5450	4.0538e-003
5451	3.8321e-003
5452	5.2569e-003
5453	5.105e-003
5454	4.9503e-003
5455	4.7943e-003
5456	4.6404e-003
5457	4.7173e-003
5458	4.4895e-003
5459	4.3424e-003
5460	4.1994e-003
5461	4.2705e-003
5462	4.0605e-003
5463	3.9253e-003
5464	2.0566e-003
5465	1.9291e-003
5466	3.7088e-003
5467	3.8171e-003
5468	3.4895e-003
5469	3.5995e-003
5470	3.2667e-003
5471	3.0405e-003
5472	3.1539e-003
5473	2.8114e-003
5474	2.9262e-003
5475	2.5795e-003
5476	2.6956e-003
5477	2.346e-003
5478	2.463e-003
5479	2.1115e-003
5480	2.2286e-003
5481	1.8776e-003
5482	1.9943e-003
5483	1.6823e-003
5484	1.646e-003
5485	1.7598e-003
5486	5.4049e-003
5487	5.3009e-003
5488	5.1959e-003
5489	3.6124e-003
5490	1.8433e-003
5491	4.5856e-003
5492	5.5072e-003
5493	1.4978e-003
5494	4.3711e-003
5495	2.6062e-003
5496	1.7533e-003
5497	4.1509e-003
5498	3.3987e-003
5499	3.9267e-003
5500	2.9929e-003
5501	5.3619e-003
5502	5.211e-003
5503	5.0565e-003
5504	4.9019e-003
5505	4.7488e-003
5506	4.8253e-003
5507	4.5983e-003
5508	4.4511e-003
5509	4.3077e-003
5510	4.379e-003
5511	4.168e-003
5512	4.0318e-003
5513	2.105e-003
5514	1.9744e-003
5515	3.6438e-003
5516	3.4262e-003
5517	3.2055e-003
5518	3.3162e-003
5519	2.982e-003
5520	3.094e-003
5521	2.7559e-003
5522	2.8692e-003
5523	2.5276e-003
5524	2.6419e-003
5525	2.2981e-003
5526	2.4131e-003
5527	2.0677e-003
5528	2.183e-003
5529	1.9526e-003
5530	1.6107e-003
5531	1.7235e-003
5532	1.5629e-003
5533	1.5305e-003
5534	1.6335e-003
5535	1.7116e-003
5536	1.6712e-003
5537	4.7727e-003
5538	4.6797e-003
5539	5.4758e-003
5540	5.3763e-003
5541	5.2755e-003
5542	5.1727e-003
5543	5.0703e-003
5544	4.9674e-003
5545	4.8639e-003
5546	5.5769e-003
5547	4.4693e-003
5548	1.7979e-003
5549	4.2502e-003
5550	2.6678e-003
5551	2.8632e-003
5552	3.7966e-003
5553	3.0628e-003
5554	5.6077e-003
5555	5.4641e-003
5556	5.3141e-003
5557	5.1614e-003
5558	5.0082e-003
5559	4.7058e-003
5560	4.7807e-003
5561	4.5586e-003
5562	4.4148e-003
5563	4.4863e-003
5564	4.2745e-003
5565	4.1376e-003
5566	4.0037e-003
5567	4.0703e-003
5568	2.1553e-003
5569	2.022e-003
5570	3.7928e-003
5571	3.8983e-003
5572	3.5796e-003
5573	3.6865e-003
5574	3.3638e-003
5575	3.472e-003
5576	3.1453e-003
5577	3.2548e-003
5578	2.9243e-003
5579	3.035e-003
5580	2.7013e-003
5581	2.813e-003
5582	2.4766e-003
5583	2.5891e-003
5584	2.251e-003
5585	2.0251e-003
5586	2.1381e-003
5587	1.7996e-003
5588	1.9123e-003
5589	1.5764e-003
5590	1.6875e-003
5591	1.3854e-003
5592	1.4442e-003
5593	1.5085e-003
5594	1.4763e-003
5595	1.5798e-003
5596	1.5433e-003
5597	1.6601e-003
5598	1.619e-003
5599	4.6646e-003
5600	4.5673e-003
5601	5.7432e-003
5602	5.5476e-003
5603	5.4503e-003
5604	5.3518e-003
5605	5.2528e-003
5606	5.1526e-003
5607	5.0528e-003
5608	4.9525e-003
5609	4.8533e-003
5610	1.7061e-003
5611	1.9356e-003
5612	5.84e-003
5613	3.9374e-003
5614	2.7316e-003
5615	3.8952e-003
5616	2.9311e-003
5617	3.1359e-003
5618	5.7065e-003
5619	5.5641e-003
5620	5.4162e-003
5621	5.2652e-003
5622	5.1132e-003
