Node Number	Normal Stress (Pa)
5559	1.066
5560	1.0653
5561	1.065
5562	1.0615
5563	1.0635
5564	1.056
5565	1.0491
5566	1.0414
5567	1.0454
5568	1.2924
5569	1.3013
5570	1.0516
5571	1.0465
5572	1.062
5573	1.0568
5574	1.0723
5575	1.0672
5576	1.0821
5577	1.0773
5578	1.0912
5579	1.0868
5580	1.0991
5581	1.0954
5582	1.1055
5583	1.1026
5584	1.1099
5585	1.1118
5586	1.1112
5587	1.1109
5588	1.1118
5589	1.1072
5590	1.1094
5591	1.1256
5592	1.1772
5593	1.232
5594	1.2043
5595	1.2894
5596	1.2603
5597	1.3488
5598	1.3189
5599	1.0308
5600	1.0579
5601	0.97304
5602	0.96853
5603	0.96676
5604	0.96567
5605	0.96511
5606	0.96533
5607	0.96614
5608	0.96772
5609	0.97036
5610	1.3782
5611	1.334
5612	0.97571
5613	1.0375
5614	1.2997
5615	1.1768
5616	1.2899
5617	1.2746
5618	0.99633
5619	1.0147
5620	1.03
5621	1.0419
5622	1.0504
5623	1.0554
5624	1.0574
5625	1.0567
5626	1.0537
5627	1.0555
5628	1.049
5629	1.0431
5630	1.0365
5631	1.0399
5632	1.3132
5633	1.3242
5634	1.0465
5635	1.0419
5636	1.0555
5637	1.0599
5638	1.0723
5639	1.0684
5640	1.0796
5641	1.0855
5642	1.0827
5643	1.0898
5644	1.0879
5645	1.0921
5646	1.092
5647	1.0924
5648	1.0893
5649	1.091
5650	1.0838
5651	1.0759
5652	1.0801
5653	1.1214
5654	1.1739
5655	1.1474
5656	1.2301
5657	1.2017
5658	1.29
5659	1.2596
5660	1.3536
5661	1.3212
5662	1.4183
5663	1.0397
5664	1.069
5665	0.96052
5666	0.95212
5667	0.94823
5668	0.94495
5669	0.94005
5670	0.9383
5671	0.93746
5672	0.93835
5673	0.94053
5674	1.4495
5675	0.94431
5676	1.033
5677	1.3579
5678	1.0155
5679	1.1536
5680	1.4329
5681	1.2473
5682	1.515
5683	0.90959
5684	0.97858
5685	0.99631
5686	1.0121
5687	1.0253
5688	1.0191
5689	1.0357
5690	1.0431
5691	1.0475
5692	1.0493
5693	1.0488
5694	1.0464
5695	1.0478
5696	1.0424
5697	1.0373
5698	1.0317
5699	1.0258
5700	1.0287
5701	1.3323
5702	1.3459
5703	1.0335
5704	1.0296
5705	1.0413
5706	1.0374
5707	1.0489
5708	1.0561
5709	1.0526
5710	1.0626
5711	1.0595
5712	1.068
5713	1.0655
5714	1.072
5715	1.0702
5716	1.0743
5717	1.0746
5718	1.0725
5719	1.0739
5720	1.068
5721	1.061
5722	1.0517
5723	1.0567
5724	1.0657
5725	1.0411
5726	1.1164
5727	1.1696
5728	1.1427
5729	1.2266
5730	1.1977
5731	1.2888
5732	1.2571
5733	1.356
5734	1.3218
5735	1.4277
5736	1.5034
5737	1.0494
