Entity	 X(m)	 Y(m)	 Z(m)	Node ID	
Mesh Node 176	-4.7	0.14999	0.	24213	
Mesh Node 177	-4.7	1.9032e-017	0.	140	
Mesh Node 178	-4.7	0.19999	0.	6781	
Mesh Node 179	-4.7	-5.e-002	0.	10290	
Mesh Node 180	-4.7	-0.1	0.	9184	
Mesh Node 181	-4.7	0.34997	0.	24117	
Mesh Node 182	-4.7	-0.15	0.	28954	
Mesh Node 183	-4.7	-0.2	0.	9175	
Mesh Node 184	-4.7	-0.25	0.	28955	
Mesh Node 185	-4.7	-0.29999	0.	9675	
Mesh Node 186	-4.7	0.39997	0.	6742	
Mesh Node 187	-4.7	-0.49996	0.	9843	
Mesh Node 188	-4.7	-0.34999	0.	29489	
Mesh Node 189	-4.7	-0.44997	0.	29490	
Mesh Node 190	-4.7	-0.39998	0.	9636	
Mesh Node 191	-4.7	-0.54996	0.	28541	
Mesh Node 192	-4.7	-0.59995	0.	9020	
Mesh Node 193	-4.7	-0.64995	0.	28542	
Mesh Node 194	-4.7	-0.69995	0.	9885	
Mesh Node 195	-4.7	-0.74994	0.	29548	
Mesh Node 196	-4.7	-0.79994	0.	9735	
Mesh Node 197	-4.7	-0.84993	0.	28538	
Mesh Node 198	-4.7	-0.89993	0.	9019	
Mesh Node 199	-4.65	0.6999	0.	23931	
Mesh Node 200	-4.65	0.79989	0.	23544	
Mesh Node 201	-4.65	0.49993	0.	23548	
Mesh Node 202	-4.65	0.59992	0.	23550	
Mesh Node 203	-4.65	2.2204e-017	0.	10285	
Mesh Node 204	-4.65	9.9997e-002	0.	24556	
Mesh Node 205	-4.65	-0.1	0.	28974	
Mesh Node 206	-4.65	0.19999	0.	24212	
Mesh Node 207	-4.65	-0.2	0.	28953	
Mesh Node 208	-4.65	0.29998	0.	24131	
Mesh Node 209	-4.65	-0.29999	0.	28577	
Mesh Node 210	-4.65	-0.39998	0.	29262	
Mesh Node 211	-4.65	0.39997	0.	24118	
Mesh Node 212	-4.65	-0.49997	0.	28000	
Mesh Node 213	-4.65	-0.59995	0.	28540	
